rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,train/learning_rate,train/loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
104.56,0.3273266800000001,6.8,2969,57,2250,169867,0.0001,0.054349325597286224,42216,,
104.66,0.32389336,6.91,2985,57,2260,170734,0.0001,0.6037657260894775,42433,,
108.25,0.31876119999999997,7.24,3009,57,2270,172030,0.0001,0.03690704330801964,42757,,
104.32,0.3157476399999999,7.03,3023,57,2280,172791,0.0001,0.16929492354393005,42947,,
103.57,0.31075803999999996,6.9,3047,57,2290,174051,0.0001,0.17443370819091797,43262,,
106.48,0.3064812399999999,7.1,3067,57,2300,175131,0.0001,0.04480426385998726,43532,,
102.85,0.30286972,7.02,3084,57,2310,176043,0.0001,0.04512467980384827,43760,,
103.19,0.29870379999999996,7.01,3104,57,2320,177095,0.0001,0.07612103223800659,44023,,
101.77,0.29473192000000004,7.1,3123,57,2330,178098,0.0001,0.10712845623493195,44274,,
104.07,0.29070064000000007,7.16,3142,56,2340,179116,0.0001,0.0792311355471611,44528,,
104.08,0.2861110000000001,7.11,3164,56,2350,180275,0.0001,0.264615923166275,44818,,
102.22,0.28341423999999993,7.05,3178,56,2360,180956,0.0001,0.0282235536724329,44988,,
98.74,0.27966015999999994,6.79,3197,56,2370,181904,0.0001,0.129922553896904,45225,,
102.61,0.27511408000000004,7.03,3219,56,2380,183052,0.0001,0.3353061378002167,45512,,
104.98,0.26918596000000017,7.1,3248,56,2390,184549,0.0001,0.041208185255527496,45887,,
101.64,0.2662318,7.03,3262,56,2400,185295,0.0001,0.04102414846420288,46073,,
103.66,0.2618203600000001,7.15,3283,56,2410,186409,0.0001,0.03973060101270676,46352,,
102.31,0.25818904,7.03,3301,56,2420,187326,0.0001,0.03162698075175285,46581,,
105.47,0.2529658,7.15,3334,56,2430,188645,0.0001,0.027310829609632492,46911,,
104.87,0.2491721200000001,6.92,3354,56,2440,189603,0.0001,0.04573629051446915,47150,,
99.93,0.24653872,6.79,3367,56,2450,190268,0.0001,0.05529122054576874,47316,,
103.02,0.24261831999999983,6.95,3388,56,2460,191258,0.0001,0.030959244817495346,47564,,
102.38,0.2391176799999999,6.97,3407,56,2470,192142,0.0001,0.025309842079877853,47785,,
99.07,0.23588236000000007,6.96,3423,56,2480,192959,0.0001,0.030967818573117256,47989,,
95.33,0.23143528000000013,6.89,3447,56,2490,194082,0.0001,0.05605144053697586,48270,,
95.31,0.22848904000000003,6.89,3462,56,2500,194826,0.0001,0.36225834488868713,48456,,
92.02,0.22538044000000013,6.6,3479,56,2510,195611,0.0001,0.03910123184323311,48652,,
95.71,0.2202878800000001,6.75,3506,56,2520,196897,0.0001,0.05856337398290634,48974,,
92.76,0.21623283999999998,6.62,3527,56,2530,197921,0.0001,0.1129380390048027,49230,,
93.23,0.21225304,6.83,3550,56,2540,198926,0.0001,0.5188771486282349,49481,,
95.84,0.2085860799999999,6.84,3569,55,2550,199852,0.0001,0.33283567428588867,49712,,
,0.20800395999999988,,,,,200000,0.0001,0.018641818314790726,49749,6.2,75.4
96.79,0.2042894799999999,7.04,3594,55,2560,200937,0.0001,0.031109454110264778,49984,,
96.92,0.20073735999999998,7.05,3614,55,2570,201834,0.0001,0.04716072231531143,50208,,
